key_resp.keys,key_resp.corr,tilt,,hit,miss,fa ,cr,,,Respond YES,Respond NO,,prop hit = hit/hit+miss,0.557692308
up,0,3,,,,1,,,Signal Present ,Hit,Miss,,prop fa = fa/fa+corr rejection ,0.520833333
down,0,0,,,1,,,,Signal Absent ,False Alarm ,Correct Rejection ,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,Respond YES ,Respond NO,,d prime = z(prop hit)-z(prop fa),-0.052161512
up,0,-3,,,,1,,,Signal Present ,29,23,,c= -z(prop hit)+z(prop fa)/2,-0.026080756
up,1,0,,1,,,,,Signal Absent,25,23,,,
up,0,4,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,0,2,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-2,,,,,1,,,,,,,
up,0,3,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,4,,,,1,,,,,,,,
down,1,-2,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-2,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,1,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,0,4,,,,1,,,,,,,,
up,0,4,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,0,4,,,,1,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,4,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,4,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
,,,,29,23,25,23,,,,,,,
